year,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,peak_wind_gust_kmh
1750,,19.24418604651163,28.297727272727272,45.8,,
1833,,5.137637362637363,14.14120879120879,0.0,,
1834,,7.205753424657534,15.741643835616438,0.0,,
1835,,5.6657534246575345,14.107397260273972,0.0,,
1836,,5.936338797814207,13.880601092896175,0.0,,
1837,,5.254794520547946,13.25945205479452,0.0,,
1838,,4.500821917808219,12.660821917808219,0.0,,
1839,,5.826301369863013,14.006849315068493,0.0,,
1840,,4.801366120218579,13.187704918032786,0.0,,
1841,,5.887671232876713,13.85095890410959,0.0,,
1842,,5.177260273972603,13.899452054794521,0.0,,
1843,,5.505753424657534,13.64054794520548,0.0,,
1844,,4.455464480874317,12.579781420765027,0.0,,
1845,,4.341917808219178,12.168493150684931,0.0,,
1846,,6.317808219178082,14.583287671232876,0.0,,
1847,,4.880821917808219,13.106027397260274,0.0,,
1848,,5.802732240437159,13.959562841530055,0.0,,
1849,,5.530684931506849,13.853972602739725,0.0,,
1850,,5.053698630136986,13.27068493150685,1.1,,
1851,,5.732328767123288,13.57945205479452,827.7,,
1852,,6.594262295081967,14.799726775956284,915.0,,
1853,,5.158904109589041,12.838630136986302,698.3,,
1854,,5.787671232876712,13.806849315068494,642.8,,
1855,,5.148068669527897,13.402432045779685,533.7,,
1856,,5.685245901639345,13.962841530054645,684.9,,
1857,,6.413835616438357,14.65931506849315,521.7,,
1858,,5.114520547945205,13.452191780821918,703.1,,
1859,,6.71986301369863,14.738219178082192,1608.8,,
1860,,5.333060109289618,12.875409836065574,3163.7,,
1861,,6.181402002861231,14.613304721030044,2652.3,,
1862,,7.298654708520179,15.83931240657698,3067.4,,
1863,,6.965479452054795,15.220136986301371,2445.0,,
1864,,1.6111111111111112,8.62959927140255,3148.5,,
1865,,3.037716894977169,10.124474885844748,2725.1,,
1866,,3.1970776255707762,10.430319634703197,4187.1,,
1867,,3.5197530864197533,10.740192043895748,4212.1,,
1868,,4.354166666666667,11.860109289617487,3800.8,,
1869,,8.150972762645916,15.553410182516812,4098.8,,
1870,,7.606546795758414,14.97223507635354,36089.2,,
1871,,7.576785714285714,14.923402298850576,34397.0,,
1872,,8.086059806508356,15.558267370272647,4970.6,,
1873,,7.925029750099167,15.771770710639968,7908.8,,
1874,,7.414270575768279,15.012327799364183,5091.5,,
1875,,6.920178755586112,14.959917780061666,5041.9,,
1876,,6.864672,14.764878671775223,6529.5,,
1877,,6.713002436053594,14.366301369863015,5846.6,,
1878,,5.756683168316831,13.404943357363543,6121.5,,
1879,,5.219029850746268,12.916813559322033,6703.3,,
